open,high,low,close,adjclose,volume,ingested_at_utc
4575.0,4687.5,4575.0,4675.0,3625.958251953125,7113800,2026-02-16 06:57:36.103698+00:00
4712.5,4725.0,4675.0,4712.5,3655.04345703125,22824600,2026-02-16 06:57:36.103698+00:00
4687.5,4725.0,4687.5,4700.0,3645.347900390625,19813600,2026-02-16 06:57:36.103698+00:00
4712.5,4750.0,4712.5,4725.0,3664.73828125,9954200,2026-02-16 06:57:36.103698+00:00
4750.0,4762.5,4700.0,4737.5,3674.433349609375,22445400,2026-02-16 06:57:36.103698+00:00
4737.5,4737.5,4737.5,4737.5,3674.433349609375,0,2026-02-16 06:57:36.103698+00:00
4762.5,4862.5,4762.5,4850.0,3761.688720703125,48871200,2026-02-16 06:57:36.103698+00:00
4875.0,4925.0,4825.0,4862.5,3771.38427734375,11966400,2026-02-16 06:57:36.103698+00:00
4800.0,4825.0,4712.5,4737.5,3674.433349609375,17860200,2026-02-16 06:57:36.103698+00:00
4825.0,4850.0,4775.0,4837.5,3751.993896484375,14496600,2026-02-16 06:57:36.103698+00:00
4837.5,4875.0,4800.0,4850.0,3761.688720703125,17295200,2026-02-16 06:57:36.103698+00:00
4900.0,4900.0,4750.0,4812.5,3732.603759765625,31259200,2026-02-16 06:57:36.103698+00:00
4775.0,4837.5,4750.0,4837.5,3751.993896484375,19171400,2026-02-16 06:57:36.103698+00:00
4825.0,4850.0,4812.5,4825.0,3742.299072265625,22821200,2026-02-16 06:57:36.103698+00:00
4825.0,4875.0,4825.0,4850.0,3761.688720703125,43281000,2026-02-16 06:57:36.103698+00:00
4850.0,4850.0,4850.0,4850.0,3761.688720703125,0,2026-02-16 06:57:36.103698+00:00
4962.5,5125.0,4875.0,4925.0,3819.859619140625,90501000,2026-02-16 06:57:36.103698+00:00
4925.0,4925.0,4925.0,4925.0,3819.859619140625,0,2026-02-16 06:57:36.103698+00:00
4912.5,4912.5,4812.5,4837.5,3751.993896484375,38719000,2026-02-16 06:57:36.103698+00:00
4800.0,4912.5,4800.0,4900.0,3800.46923828125,25165200,2026-02-16 06:57:36.103698+00:00
4950.0,4962.5,4887.5,4900.0,3800.46923828125,22612800,2026-02-16 06:57:36.103698+00:00
4850.0,4862.5,4775.0,4800.0,3722.908935546875,61278200,2026-02-16 06:57:36.103698+00:00
4812.5,4825.0,4750.0,4825.0,3742.299072265625,62720800,2026-02-16 06:57:36.103698+00:00
4862.5,4862.5,4775.0,4812.5,3732.603759765625,26364400,2026-02-16 06:57:36.103698+00:00
4812.5,4850.0,4762.5,4800.0,3722.908935546875,46762800,2026-02-16 06:57:36.103698+00:00
4800.0,4800.0,4800.0,4800.0,3722.908935546875,0,2026-02-16 06:57:36.103698+00:00
4762.5,4787.5,4650.0,4712.5,3655.04345703125,60074200,2026-02-16 06:57:36.103698+00:00
4700.0,4700.0,4587.5,4625.0,3587.177978515625,59192200,2026-02-16 06:57:36.103698+00:00
4550.0,4562.5,4375.0,4437.5,3441.75146484375,55552200,2026-02-16 06:57:36.103698+00:00
4437.5,4525.0,4375.0,4475.0,3470.83642578125,61910000,2026-02-16 06:57:36.103698+00:00
4387.5,4425.0,4350.0,4375.0,3393.276123046875,41682400,2026-02-16 06:57:36.103698+00:00
4300.0,4337.5,4275.0,4287.5,3325.41064453125,69829800,2026-02-16 06:57:36.103698+00:00
4325.0,4412.5,4287.5,4300.0,3335.105712890625,45151200,2026-02-16 06:57:36.103698+00:00
4300.0,4337.5,4250.0,4250.0,3296.325439453125,20710000,2026-02-16 06:57:36.103698+00:00
4225.0,4275.0,4125.0,4225.0,3276.935546875,68445400,2026-02-16 06:57:36.103698+00:00
4237.5,4237.5,4062.5,4112.5,3189.679931640625,90706000,2026-02-16 06:57:36.103698+00:00
4100.0,4175.0,4037.5,4087.5,3170.28955078125,36448400,2026-02-16 06:57:36.103698+00:00
4237.5,4237.5,4025.0,4050.0,3141.204345703125,61447200,2026-02-16 06:57:36.103698+00:00
4050.0,4225.0,3912.5,4212.5,3267.240234375,43655000,2026-02-16 06:57:36.103698+00:00
4225.0,4300.0,4187.5,4300.0,3335.105712890625,78310800,2026-02-16 06:57:36.103698+00:00
4150.0,4237.5,4137.5,4150.0,3295.908203125,40857000,2026-02-16 06:57:36.103698+00:00
4137.5,4300.0,4137.5,4250.0,3375.327880859375,43215600,2026-02-16 06:57:36.103698+00:00
4237.5,4400.0,4237.5,4325.0,3434.891845703125,48374800,2026-02-16 06:57:36.103698+00:00
4325.0,4412.5,4325.0,4350.0,3454.7470703125,32246800,2026-02-16 06:57:36.103698+00:00
4325.0,4325.0,4050.0,4075.0,3236.343505859375,222512000,2026-02-16 06:57:36.103698+00:00
4075.0,4112.5,4012.5,4075.0,3236.343505859375,78292800,2026-02-16 06:57:36.103698+00:00
4075.0,4075.0,4075.0,4075.0,3236.343505859375,0,2026-02-16 06:57:36.103698+00:00
4100.0,4212.5,4100.0,4200.0,3335.617919921875,89160800,2026-02-16 06:57:36.103698+00:00
4200.0,4200.0,4200.0,4200.0,3335.617919921875,0,2026-02-16 06:57:36.103698+00:00
4200.0,4200.0,4200.0,4200.0,3335.617919921875,0,2026-02-16 06:57:36.103698+00:00
4200.0,4200.0,4200.0,4200.0,3335.617919921875,0,2026-02-16 06:57:36.103698+00:00
4200.0,4200.0,4200.0,4200.0,3335.617919921875,0,2026-02-16 06:57:36.103698+00:00
4200.0,4200.0,4200.0,4200.0,3335.617919921875,0,2026-02-16 06:57:36.103698+00:00
4287.5,4362.5,4275.0,4337.5,3444.820068359375,101675200,2026-02-16 06:57:36.103698+00:00
4300.0,4337.5,4237.5,4287.5,3405.10986328125,44879800,2026-02-16 06:57:36.103698+00:00
4275.0,4325.0,4262.5,4300.0,3415.03759765625,39229000,2026-02-16 06:57:36.103698+00:00
4300.0,4337.5,4262.5,4325.0,3434.891845703125,54401400,2026-02-16 06:57:36.103698+00:00
4300.0,4325.0,4225.0,4250.0,3375.327880859375,40394600,2026-02-16 06:57:36.103698+00:00
4250.0,4262.5,4212.5,4225.0,3355.47314453125,21955800,2026-02-16 06:57:36.103698+00:00
4250.0,4375.0,4225.0,4362.5,3464.6748046875,62706200,2026-02-16 06:57:36.103698+00:00
4412.5,4512.5,4412.5,4450.0,3534.166748046875,79746600,2026-02-16 06:57:36.103698+00:00
4500.0,4500.0,4362.5,4400.0,3494.45703125,54402200,2026-02-16 06:57:36.103698+00:00
4437.5,4450.0,4400.0,4425.0,3514.31201171875,51525600,2026-02-16 06:57:36.103698+00:00
4450.0,4487.5,4400.0,4437.5,3524.2392578125,32097800,2026-02-16 06:57:36.103698+00:00
4475.0,4487.5,4450.0,4462.5,3544.094482421875,18337600,2026-02-16 06:57:36.103698+00:00
4462.5,4475.0,4425.0,4425.0,3514.31201171875,28871200,2026-02-16 06:57:36.103698+00:00
4475.0,4475.0,4437.5,4450.0,3534.166748046875,18194800,2026-02-16 06:57:36.103698+00:00
4462.5,4612.5,4450.0,4600.0,3653.296142578125,81840600,2026-02-16 06:57:36.103698+00:00
4650.0,4725.0,4650.0,4687.5,3722.788330078125,56506600,2026-02-16 06:57:36.103698+00:00
4675.0,4687.5,4637.5,4675.0,3712.8603515625,33067800,2026-02-16 06:57:36.103698+00:00
4675.0,4675.0,4625.0,4662.5,3702.93310546875,34549000,2026-02-16 06:57:36.103698+00:00
4662.5,4700.0,4650.0,4687.5,3722.788330078125,24270400,2026-02-16 06:57:36.103698+00:00
4637.5,4662.5,4550.0,4600.0,3653.296142578125,40019800,2026-02-16 06:57:36.103698+00:00
4537.5,4587.5,4475.0,4487.5,3563.94921875,39037200,2026-02-16 06:57:36.103698+00:00
4487.5,4587.5,4487.5,4575.0,3633.44091796875,21892000,2026-02-16 06:57:36.103698+00:00
4562.5,4625.0,4562.5,4575.0,3633.44091796875,34132000,2026-02-16 06:57:36.103698+00:00
4600.0,4637.5,4575.0,4625.0,3673.151123046875,27475200,2026-02-16 06:57:36.103698+00:00
4600.0,4625.0,4575.0,4600.0,3653.296142578125,27073600,2026-02-16 06:57:36.103698+00:00
4625.0,4662.5,4587.5,4587.5,3643.368408203125,39008200,2026-02-16 06:57:36.103698+00:00
4587.5,4600.0,4525.0,4537.5,3603.65869140625,34469200,2026-02-16 06:57:36.103698+00:00
4487.5,4537.5,4487.5,4525.0,3593.731201171875,21264800,2026-02-16 06:57:36.103698+00:00
4525.0,4537.5,4425.0,4437.5,3524.2392578125,39663600,2026-02-16 06:57:36.103698+00:00
