Date,open,high,low,close,adjclose,volume,ingested_at_utc,MA50,MA200,daily_return,volatility_20d,volume_ma20,price_change,running_max,drawdown
2019-01-01,4400.0,4400.0,4400.0,4400.0,3412.66650390625,0,2026-02-16 06:57:36.103698+00:00,,,,,,,3412.66650390625,0.0
2019-01-02,4400.0,4400.0,4337.5,4362.5,3383.58154296875,15681200,2026-02-16 06:57:36.103698+00:00,,,-0.008522649636056867,,,-29.0849609375,3412.66650390625,-0.008522649636056848
2019-01-03,4337.5,4387.5,4325.0,4362.5,3383.58154296875,21416600,2026-02-16 06:57:36.103698+00:00,,,0.0,,,0.0,3412.66650390625,-0.008522649636056848
2019-01-04,4362.5,4400.0,4337.5,4362.5,3383.58154296875,41078600,2026-02-16 06:57:36.103698+00:00,,,0.0,,,0.0,3412.66650390625,-0.008522649636056848
2019-01-07,4412.5,4462.5,4412.5,4437.5,3441.75146484375,48108200,2026-02-16 06:57:36.103698+00:00,,,0.01719181912310641,,,58.169921875,3441.75146484375,0.0
2019-01-08,4437.5,4475.0,4400.0,4450.0,3451.44677734375,45945800,2026-02-16 06:57:36.103698+00:00,,,0.0028169705450942217,,,9.6953125,3451.44677734375,0.0
2019-01-09,4475.0,4475.0,4412.5,4425.0,3432.056640625,50484000,2026-02-16 06:57:36.103698+00:00,,,-0.005617973554172151,,,-19.39013671875,3451.44677734375,-0.005617973554172185
2019-01-10,4462.5,4462.5,4400.0,4425.0,3432.056640625,44421400,2026-02-16 06:57:36.103698+00:00,,,0.0,,,0.0,3451.44677734375,-0.005617973554172185
2019-01-11,4475.0,4487.5,4450.0,4462.5,3461.141845703125,47217000,2026-02-16 06:57:36.103698+00:00,,,0.0084745702427651,,,29.085205078125,3461.141845703125,0.0
2019-01-14,4487.5,4487.5,4425.0,4437.5,3441.75146484375,26702800,2026-02-16 06:57:36.103698+00:00,,,-0.0056023074822684205,,,-19.390380859375,3461.141845703125,-0.005602307482268435
2019-01-15,4437.5,4550.0,4425.0,4500.0,3490.226806640625,49947400,2026-02-16 06:57:36.103698+00:00,,,0.014084498050493499,,,48.475341796875,3490.226806640625,0.0
2019-01-16,4525.0,4625.0,4500.0,4625.0,3587.177978515625,58089800,2026-02-16 06:57:36.103698+00:00,,,0.02777790018990678,,,96.951171875,3587.177978515625,0.0
2019-01-17,4612.5,4662.5,4575.0,4625.0,3587.177978515625,47773600,2026-02-16 06:57:36.103698+00:00,,,0.0,,,0.0,3587.177978515625,0.0
2019-01-18,4650.0,4700.0,4600.0,4700.0,3645.347900390625,39366000,2026-02-16 06:57:36.103698+00:00,,,0.01621606795742836,,,58.169921875,3645.347900390625,0.0
2019-01-21,4600.0,4687.5,4600.0,4612.5,3577.482666015625,33397400,2026-02-16 06:57:36.103698+00:00,,,-0.018616943081818826,,,-67.865234375,3645.347900390625,-0.01861694308181882
2019-01-22,4612.5,4625.0,4587.5,4625.0,3587.177978515625,42127800,2026-02-16 06:57:36.103698+00:00,,,0.002710093494540322,,,9.6953125,3645.347900390625,-0.01595730324361268
2019-01-23,4587.5,4612.5,4512.5,4525.0,3509.6171875,51746000,2026-02-16 06:57:36.103698+00:00,,,-0.02162167349380295,,,-77.560791015625,3645.347900390625,-0.03723395313684065
2019-01-24,4525.0,4537.5,4487.5,4500.0,3490.226806640625,88315800,2026-02-16 06:57:36.103698+00:00,,,-0.005524927598496099,,,-19.390380859375,3645.347900390625,-0.04255316584004991
2019-01-25,4512.5,4562.5,4500.0,4550.0,3529.007568359375,51100800,2026-02-16 06:57:36.103698+00:00,,,0.011111244015708177,,,38.78076171875,3645.347900390625,-0.0319147404336314
2019-01-28,4550.0,4562.5,4525.0,4550.0,3529.007568359375,42198000,2026-02-16 06:57:36.103698+00:00,,,0.0,,42255910.0,0.0,3645.347900390625,-0.0319147404336314
2019-01-29,4525.0,4550.0,4462.5,4512.5,3499.922119140625,38083600,2026-02-16 06:57:36.103698+00:00,,,-0.008241821150945183,0.012034411936762641,44160090.0,-29.08544921875,3645.347900390625,-0.039893526001843774
2019-01-30,4450.0,4500.0,4450.0,4500.0,3490.226806640625,40402400,2026-02-16 06:57:36.103698+00:00,,,-0.0027701509262099133,0.011853882898624882,45396150.0,-9.6953125,3645.347900390625,-0.04255316584004991
2019-01-31,4500.0,4587.5,4500.0,4537.5,3519.312744140625,72412200,2026-02-16 06:57:36.103698+00:00,,,0.008333537936463076,0.011940117214722715,47945930.0,29.0859375,3645.347900390625,-0.0345742463254315
2019-02-01,4550.0,4662.5,4537.5,4625.0,3587.177978515625,83559800,2026-02-16 06:57:36.103698+00:00,,,0.01928366113184743,0.01253102125117862,50069990.0,67.865234375,3645.347900390625,-0.01595730324361268
2019-02-04,4625.0,4637.5,4550.0,4562.5,3538.702392578125,45077600,2026-02-16 06:57:36.103698+00:00,,,-0.013513571455843754,0.012581663052704953,49918460.0,-48.4755859375,3645.347900390625,-0.029255234541831297
2019-02-05,4562.5,4562.5,4562.5,4562.5,3538.702392578125,0,2026-02-16 06:57:36.103698+00:00,,,0.0,0.012581498656248007,47621170.0,0.0,3645.347900390625,-0.029255234541831297
2019-02-06,4562.5,4612.5,4550.0,4550.0,3529.007568359375,39366200,2026-02-16 06:57:36.103698+00:00,,,-0.0027396551456497775,0.01251419296621668,47065280.0,-9.69482421875,3645.347900390625,-0.0319147404336314
2019-02-07,4550.0,4550.0,4512.5,4537.5,3519.312744140625,11857200,2026-02-16 06:57:36.103698+00:00,,,-0.0027471814755152257,0.012546190469154585,45437070.0,-9.69482421875,3645.347900390625,-0.0345742463254315
